year,week,state,suspected,confirmed,missing,not_processed,error
2017,1,Abia,0,0,True,False,No PDF file found
2017,1,Adamawa,0,0,True,False,No PDF file found
2017,1,Akwa Ibom,0,0,True,False,No PDF file found
2017,1,Anambra,0,0,True,False,No PDF file found
2017,1,Bauchi,0,0,True,False,No PDF file found
2017,1,Bayelsa,0,0,True,False,No PDF file found
2017,1,Benue,0,0,True,False,No PDF file found
2017,1,Borno,0,0,True,False,No PDF file found
2017,1,Cross River,0,0,True,False,No PDF file found
2017,1,Delta,0,0,True,False,No PDF file found
2017,1,Ebonyi,0,0,True,False,No PDF file found
2017,1,Edo,0,0,True,False,No PDF file found
2017,1,Ekiti,0,0,True,False,No PDF file found
2017,1,Enugu,0,0,True,False,No PDF file found
2017,1,FCT,0,0,True,False,No PDF file found
2017,1,Gombe,0,0,True,False,No PDF file found
2017,1,Imo,0,0,True,False,No PDF file found
2017,1,Jigawa,0,0,True,False,No PDF file found
2017,1,Kaduna,0,0,True,False,No PDF file found
2017,1,Kano,0,0,True,False,No PDF file found
2017,1,Katsina,0,0,True,False,No PDF file found
2017,1,Kebbi,0,0,True,False,No PDF file found
2017,1,Kogi,0,0,True,False,No PDF file found
2017,1,Kwara,0,0,True,False,No PDF file found
2017,1,Lagos,0,0,True,False,No PDF file found
2017,1,Nasarawa,0,0,True,False,No PDF file found
2017,1,Niger,0,0,True,False,No PDF file found
2017,1,Ogun,0,0,True,False,No PDF file found
2017,1,Ondo,0,0,True,False,No PDF file found
2017,1,Osun,0,0,True,False,No PDF file found
2017,1,Oyo,0,0,True,False,No PDF file found
2017,1,Plateau,0,0,True,False,No PDF file found
2017,1,Rivers,0,0,True,False,No PDF file found
2017,1,Sokoto,0,0,True,False,No PDF file found
2017,1,Taraba,0,0,True,False,No PDF file found
2017,1,Yobe,0,0,True,False,No PDF file found
2017,1,Zamfara,0,0,True,False,No PDF file found
2017,2,Abia,0,0,True,False,No PDF file found
2017,2,Adamawa,0,0,True,False,No PDF file found
2017,2,Akwa Ibom,0,0,True,False,No PDF file found
2017,2,Anambra,0,0,True,False,No PDF file found
2017,2,Bauchi,0,0,True,False,No PDF file found
2017,2,Bayelsa,0,0,True,False,No PDF file found
2017,2,Benue,0,0,True,False,No PDF file found
2017,2,Borno,0,0,True,False,No PDF file found
2017,2,Cross River,0,0,True,False,No PDF file found
2017,2,Delta,0,0,True,False,No PDF file found
2017,2,Ebonyi,0,0,True,False,No PDF file found
2017,2,Edo,0,0,True,False,No PDF file found
2017,2,Ekiti,0,0,True,False,No PDF file found
2017,2,Enugu,0,0,True,False,No PDF file found
2017,2,FCT,0,0,True,False,No PDF file found
2017,2,Gombe,0,0,True,False,No PDF file found
2017,2,Imo,0,0,True,False,No PDF file found
2017,2,Jigawa,0,0,True,False,No PDF file found
2017,2,Kaduna,0,0,True,False,No PDF file found
2017,2,Kano,0,0,True,False,No PDF file found
2017,2,Katsina,0,0,True,False,No PDF file found
2017,2,Kebbi,0,0,True,False,No PDF file found
2017,2,Kogi,0,0,True,False,No PDF file found
2017,2,Kwara,0,0,True,False,No PDF file found
2017,2,Lagos,0,0,True,False,No PDF file found
2017,2,Nasarawa,0,0,True,False,No PDF file found
2017,2,Niger,0,0,True,False,No PDF file found
2017,2,Ogun,0,0,True,False,No PDF file found
2017,2,Ondo,0,0,True,False,No PDF file found
2017,2,Osun,0,0,True,False,No PDF file found
2017,2,Oyo,0,0,True,False,No PDF file found
2017,2,Plateau,0,0,True,False,No PDF file found
2017,2,Rivers,0,0,True,False,No PDF file found
2017,2,Sokoto,0,0,True,False,No PDF file found
2017,2,Taraba,0,0,True,False,No PDF file found
2017,2,Yobe,0,0,True,False,No PDF file found
2017,2,Zamfara,0,0,True,False,No PDF file found
2017,3,Abia,0,0,True,False,No PDF file found
2017,3,Adamawa,0,0,True,False,No PDF file found
2017,3,Akwa Ibom,0,0,True,False,No PDF file found
2017,3,Anambra,0,0,True,False,No PDF file found
2017,3,Bauchi,0,0,True,False,No PDF file found
2017,3,Bayelsa,0,0,True,False,No PDF file found
2017,3,Benue,0,0,True,False,No PDF file found
2017,3,Borno,0,0,True,False,No PDF file found
2017,3,Cross River,0,0,True,False,No PDF file found
2017,3,Delta,0,0,True,False,No PDF file found
2017,3,Ebonyi,0,0,True,False,No PDF file found
2017,3,Edo,0,0,True,False,No PDF file found
2017,3,Ekiti,0,0,True,False,No PDF file found
2017,3,Enugu,0,0,True,False,No PDF file found
2017,3,FCT,0,0,True,False,No PDF file found
2017,3,Gombe,0,0,True,False,No PDF file found
2017,3,Imo,0,0,True,False,No PDF file found
2017,3,Jigawa,0,0,True,False,No PDF file found
2017,3,Kaduna,0,0,True,False,No PDF file found
2017,3,Kano,0,0,True,False,No PDF file found
2017,3,Katsina,0,0,True,False,No PDF file found
2017,3,Kebbi,0,0,True,False,No PDF file found
2017,3,Kogi,0,0,True,False,No PDF file found
