year,week,state,suspected,confirmed
2023,23,Abia,0,0
2023,23,Adamawa,0,0
2023,23,Akwa Ibom,0,0
2023,23,Anambra,0,0
2023,23,Bauchi,0,0
2023,23,Bayelsa,0,0
2023,23,Benue,0,0
2023,23,Borno,3,0
2023,23,Cross River,0,0
2023,23,Delta,0,0
2023,23,Ebonyi,0,0
2023,23,Edo,0,0
2023,23,Ekiti,0,0
2023,23,Enugu,3,0
2023,23,Gombe,0,0
2023,23,Imo,0,0
2023,23,Jigawa,0,0
2023,23,Kaduna,0,0
2023,23,Kano,0,0
2023,23,Katsina,0,0
2023,23,Kebbi,0,0
2023,23,Kogi,0,0
2023,23,Kwara,0,0
2023,23,Lagos,0,0
2023,23,Nasarawa,0,0
2023,23,Niger,0,0
2023,23,Ogun,7,0
2023,23,Ondo,2,0
2023,23,Osun,0,0
2023,23,Oyo,0,0
2023,23,Plateau,0,0
2023,23,Rivers,0,0
2023,23,Sokoto,0,0
2023,23,Taraba,0,0
2023,23,Yobe,0,0
2023,23,Zamfara,0,0
2023,23,FCT,0,0
2022,36,Total confirmed cases in Epi Week,36,2022
2022,36,Total Suspected cases in Epi Week,36,2022
2022,36,Abia,0,0
2022,36,Adamawa,0,0
2022,36,Akwa Ibom,0,0
2022,36,Anambra,0,0
2022,36,Bauchi,0,0
2022,36,Bayelsa,0,0
2022,36,Benue,0,0
2022,36,Borno,0,0
2022,36,Cross River,0,0
2022,36,Delta,0,0
2022,36,Ebonyi,0,0
2022,36,Edo,0,0
2022,36,Ekiti,0,0
2022,36,Enugu,0,0
2022,36,Gombe,0,0
2022,36,Imo,0,0
2022,36,Jigawa,0,0
2022,36,Kaduna,0,0
2022,36,Kano,0,0
2022,36,Katsina,0,0
2022,36,Kebbi,0,0
2022,36,Kogi,0,0
2022,36,Kwara,0,0
2022,36,Lagos,0,0
2022,36,Nasarawa,0,0
2022,36,Niger,0,0
2022,36,Ogun,0,0
2022,36,Ondo,0,0
2022,36,Osun,0,0
2022,36,Oyo,0,0
2022,36,Plateau,0,0
2022,36,Rivers,0,0
2022,36,Sokoto,0,0
2022,36,Taraba,0,0
2022,36,Yobe,0,0
2022,36,Zamfara,0,0
2022,36,FCT,0,0
2022,49,Total confirmed cases in Epi Week,49,2022
2022,49,Abia,0,0
2022,49,Adamawa,0,0
2022,49,Akwa Ibom,0,0
2022,49,Anambra,0,0
2022,49,Bauchi,0,0
2022,49,Bayelsa,0,0
2022,49,Benue,0,0
2022,49,Borno,0,0
2022,49,Cross River,0,0
2022,49,Delta,0,0
2022,49,Ebonyi,0,0
2022,49,Edo,0,0
2022,49,Ekiti,0,0
2022,49,Enugu,0,0
